国别,年号,名号,姓名,起HE,止HE,公元纪年,改元月份,元年干支,使用年数,所属朝代
中国,元符,哲宗,赵煦,11098,11101,1098,六月,戊寅,3,北宋
中国,建中靖国,徽宗,赵佶,11101,11102,1101,正月,辛巳,1,北宋
中国,崇宁,徽宗,赵佶,11102,11107,1102,正月,壬午,5,北宋
中国,大观,徽宗,赵佶,11107,11111,1107,正月,丁亥,4,北宋
中国,政和,徽宗,赵佶,11111,11119,1111,正月,辛卯,8,北宋
中国,重和,徽宗,赵佶,11118,11120,1118,十一月,戊戌,2,北宋
中国,宣和,徽宗,赵佶,11119,11126,1119,二月,己亥,7,北宋
中国,靖康,钦宗,赵桓,11126,11128,1126,正月,丙午,2,北宋
中国,建炎,高宗,赵构,11127,11131,1127,五月,丁未,4,南宋
中国,绍兴,高宗,赵构,11131,11163,1131,正月,辛亥,32,南宋
中国,隆兴,孝宗,赵昚,11163,11165,1163,正月,癸未,2,南宋
中国,乾道,孝宗,赵昚,11165,11174,1165,正月,乙酉,9,南宋
中国,淳熙,孝宗,赵昚,11174,11190,1174,正月,甲午,16,南宋
中国,绍熙,光宗,赵惇,11190,11195,1190,正月,庚戌,5,南宋
中国,庆元,宁宗,赵扩,11195,11201,1195,正月,乙卯,6,南宋
中国,嘉泰,宁宗,赵扩,11201,11205,1201,正月,辛酉,4,南宋
中国,开禧,宁宗,赵扩,11205,11208,1205,正月,乙丑,3,南宋
中国,嘉定,宁宗,赵扩,11208,11225,1208,正月,戊辰,17,南宋
中国,宝庆,理宗,赵昀,11225,11228,1225,正月,乙酉,3,南宋
中国,绍定,理宗,赵昀,11228,11234,1228,正月,戊子,6,南宋
中国,端平,理宗,赵昀,11234,11237,1234,正月,甲午,3,南宋
中国,嘉熙,理宗,赵昀,11237,11241,1237,正月,丁酉,4,南宋
中国,淳祐,理宗,赵昀,11241,11253,1241,正月,辛丑,12,南宋
中国,宝祐,理宗,赵昀,11253,11259,1253,正月,癸丑,6,南宋
中国,开庆,理宗,赵昀,11259,11260,1259,正月,己未,1,南宋
中国,景定,理宗,赵昀,11260,11265,1260,正月,庚申,5,南宋
中国,咸淳,度宗,赵禥,11265,11275,1265,正月,乙丑,10,南宋
中国,德祐,恭帝,赵韅,11275,11277,1275,正月,乙亥,2,南宋
中国,景炎,端宗,赵昰,11276,11279,1276,五月,丙子,3,南宋
中国,祥兴,帝昺,赵昺,11278,11280,1278,五月,戊寅,2,南宋
中国,,太祖,耶律阿保机,10907,10917,907,正月,丁卯,10,辽
中国,神册,太祖,耶律阿保机,10916,10923,916,十二月,丙子,7,辽
中国,天赞,太祖,耶律阿保机,10922,10927,922,二月,壬午,5,辽
中国,天显,太祖,耶律阿保机,10926,10927,926,二月,丙戌,1,辽
中国,天显,太宗,耶律德光,10927,10939,927,十一月,丁亥,12,辽
中国,会同,太宗,耶律德光,10938,10948,938,十一月,戊戌,10,辽
中国,大同,太宗,耶律德光,10947,10948,947,二月,丁未,1,辽
中国,天禄,世宗,耶律阮,10947,10952,947,九月,丁未,5,辽
中国,应历,穆宗,耶律璟,10951,10970,951,九月,辛亥,19,辽
中国,保宁,景宗,耶律贤,10969,10980,969,二月,己巳,11,辽
中国,乾亨,景宗,耶律贤,10979,10982,979,十一月,己卯,3,辽
中国,乾亨,圣宗,耶律隆绪,10982,10984,982,九月,壬午,2,辽
中国,统和,圣宗,耶律隆绪,10983,11013,983,六月,癸未,30,辽
中国,开泰,圣宗,耶律隆绪,11012,11022,1012,十一月,壬子,10,辽
中国,太平,圣宗,耶律隆绪,11021,11032,1021,十一月,辛酉,11,辽
中国,景福,兴宗,耶律宗真,11031,11033,1031,六月,辛未,2,辽
中国,重熙,兴宗,耶律宗真,11032,11056,1032,十一月,壬申,24,辽
中国,清宁,道宗,耶律洪基,11055,11065,1055,八月,乙未,10,辽
中国,咸雍,道宗,耶律洪基,11065,11075,1065,正月,乙巳,10,辽
中国,大康,道宗,耶律洪基,11075,11085,1075,正月,乙卯,10,辽
中国,大安,道宗,耶律洪基,11085,11095,1085,正月,乙丑,10,辽
中国,寿昌,道宗,耶律洪基,11095,11102,1095,正月,乙亥,7,辽
中国,乾统,天祚帝,耶律延禧,11101,11111,1101,二月,辛巳,10,辽
中国,天庆,天祚帝,耶律延禧,11111,11121,1111,正月,辛卯,10,辽
中国,保大,天祚帝,耶律延禧,11121,11126,1121,正月,辛丑,5,辽
中国,收国,太祖,完颜阿骨打,11115,11117,1115,正月,乙未,2,金
中国,天辅,太祖,完颜阿骨打,11117,11124,1117,正月,丁酉,7,金
中国,天会,太宗,完颜晟,11123,11135,1123,九月,癸卯,12,金
中国,天会,熙宗,完颜亶,11135,11138,1135,一月,乙卯,3,金
中国,天眷,熙宗,完颜亶,11138,11141,1138,正月,戊午,3,金
中国,皇统,熙宗,完颜亶,11141,11150,1141,正月,辛酉,9,金
中国,天德,海陵王,完颜亮,11149,11154,1149,十二月,己巳,5,金
中国,贞元,海陵王,完颜亮,11153,11157,1153,三月,癸酉,4,金
中国,正隆,海陵王,完颜亮,11156,11162,1156,二月,丙子,6,金
中国,大定,世宗,完颜雍,11161,11190,1161,十月,辛巳,29,金
中国,明昌,章宗,完颜璟,11190,11197,1190,正月,庚戌,7,金
中国,承安,章宗,完颜璟,11196,11201,1196,十一月,丙辰,5,金
中国,泰和,章宗,完颜璟,11201,11209,1201,正月,辛酉,8,金
中国,大安,卫绍王,完颜永济,11209,11212,1209,正月,己巳,3,金
中国,崇庆,卫绍王,完颜永济,11212,11214,1212,正月,壬申,2,金
中国,至宁,卫绍王,完颜永济,11213,11214,1213,五月,癸酉,1,金
中国,贞祐,宣宗,完颜珣,11213,11218,1213,九月,癸酉,5,金
中国,兴定,宣宗,完颜珣,11217,11223,1217,九月,丁丑,6,金
中国,元光,宣宗,完颜珣,11222,11224,1222,八月,壬午,2,金
中国,正大,哀宗,完颜守绪,11224,11233,1224,正月,甲申,9,金
中国,开兴,哀宗,完颜守绪,11232,11233,1232,一月,壬辰,1,金
中国,天兴,哀宗,完颜守绪,11232,11235,1232,四月,壬辰,3,金
中国,,太祖,孛儿只斤铁木真,11206,11228,1206,正月,丙寅,22,元
中国,,拖雷,监国,11228,11229,1228,正月,戊子,1,元
中国,,太宗,孛儿只斤窝阔台,11229,11242,1229,正月,己丑,13,元
中国,,乃马真后,称制,11242,11247,1242,正月,壬寅,5,元
中国,,定宗,孛儿只斤贵由,11246,11249,1246,七月,丙午,3,元
中国,,海迷失后,称制,11249,11252,1249,三月,己酉,3,元
中国,,宪宗,孛儿只斤蒙哥,11251,11260,1251,六月,辛亥,9,元
中国,中统,世祖,孛儿只斤忽必烈,11260,11265,1260,五月,庚申,5,元
中国,至元,世祖,孛儿只斤忽必烈,11264,11295,1264,八月,甲子,31,元
中国,元贞,成宗,孛儿只斤铁穆耳,11295,11298,1295,正月,乙未,3,元
中国,大德,成宗,孛儿只斤铁穆耳,11297,11308,1297,二月,丁酉,11,元
中国,至大,武宗,孛儿只斤海山,11308,11312,1308,正月,戊申,4,元
中国,皇庆,仁宗,孛儿只斤爱力育黎拔力八达,11312,11314,1312,正月,壬子,2,元
中国,延祐,仁宗,孛儿只斤爱力育黎拔力八达,11314,11321,1314,正月,甲寅,7,元
中国,至治,英宗,孛儿只斤硕德八剌,11321,11324,1321,正月,辛酉,3,元
中国,泰定,泰定帝,孛儿只斤也孙铁木儿,11324,11329,1324,正月,甲子,5,元
中国,致和,泰定帝,孛儿只斤也孙铁木儿,11328,11329,1328,二月,戊辰,1,元
中国,天顺,天顺帝,孛儿只斤阿速吉八,11328,11329,1328,九月,戊辰,1,元
中国,天历,文宗,孛儿只斤图帖睦尔,11328,11329,1328,九月,戊辰,1,元
中国,天历,明宗,孛儿只斤和世喇,11329,11331,1329,正月,己巳,2,元
中国,至顺,文宗,孛儿只斤图帖睦尔,11330,11332,1330,五月,庚午,2,元
中国,至顺,宁宗,孛儿只斤懿璘质班,11332,11333,1332,十月,壬申,1,元
中国,至顺,顺帝,孛儿只斤妥懽帖睦尔,11333,11334,1333,六月,癸酉,1,元
中国,元统,顺帝,孛儿只斤妥懽帖睦尔,11333,11336,1333,十月,癸酉,3,元
中国,至元,顺帝,孛儿只斤妥懽帖睦尔,11335,11341,1335,十一月,乙亥,6,元
中国,至正,顺帝,孛儿只斤妥懽帖睦尔,11341,11369,1341,正月,辛巳,28,元
中国,洪武,太祖,朱元璋,11368,11399,1368,正月,戊申,31,明
中国,建文,惠帝,朱允炆,11399,11403,1399,正月,己卯,4,明
中国,永乐,成祖,朱棣,11403,11425,1403,正月,癸未,22,明
中国,洪熙,仁宗,朱高炽,11425,11426,1425,正月,乙巳,1,明
中国,宣德,宣宗,朱瞻基,11426,11436,1426,正月,丙午,10,明
中国,正统,英宗,朱祁镇,11436,11450,1436,正月,丙辰,14,明
中国,景泰,代宗(景帝),朱祁钰,11450,11458,1450,正月,庚午,8,明
中国,天顺,英宗,朱祁镇,11457,11465,1457,一月,丁丑,8,明
中国,成化,宪宗,朱见深,11465,11488,1465,正月,乙酉,23,明
中国,弘治,孝宗,朱祐樘,11488,11506,1488,正月,戊申,18,明
中国,正德,武宗,朱厚燳,11506,11522,1506,正月,丙寅,16,明
中国,嘉靖,世宗,朱厚熜,11522,11567,1522,正月,壬午,45,明
中国,隆庆,穆宗,朱载垕,11567,11573,1567,正月,丁卯,6,明
中国,万历,神宗,朱翊钧,11573,11621,1573,正月,癸酉,48,明
中国,泰昌,光宗,朱常洛,11620,11621,1620,八月,庚申,1,明
中国,天启,熹宗,朱由校,11621,11628,1621,正月,辛酉,7,明
中国,崇祯,思宗,朱由检,11628,11645,1628,正月,戊辰,17,明
中国,天命,太祖,爱新觉罗努尔哈赤,11616,11627,1616,正月,丙辰,11,清
中国,天聪,太宗,爱新觉罗皇太极,11627,11637,1627,正月,丁卯,10,清
中国,崇德,太宗,爱新觉罗皇太极,11636,11644,1636,四月,丙子,8,清
中国,顺治,世宗,爱新觉罗福临,11644,11662,1644,正月,甲申,18,清
中国,康熙,圣宗,爱新觉罗玄烨,11662,11723,1662,正月,壬寅,61,清
中国,雍正,世宗,爱新觉罗胤禛,11723,11736,1723,正月,癸卯,13,清
中国,乾隆,高宗,爱新觉罗弘历,11736,11796,1736,正月,丙辰,60,清
中国,嘉庆,仁宗,爱新觉罗颙琰,11796,11821,1796,正月,丙辰,25,清
中国,道光,宣宗,爱新觉罗旻宁,11821,11851,1821,正月,辛巳,30,清
中国,咸丰,文宗,爱新觉罗奕苎,11851,11862,1851,正月,辛亥,11,清
中国,同治,穆宗,爱新觉罗载淳,11862,11875,1862,正月,壬戌,13,清
中国,光绪,德宗,爱新觉罗载湉,11875,11909,1875,正月,乙亥,34,清
中国,宣统,,爱新觉罗溥仪,11909,11912,1909,正月,己酉,3,清
